C19005|COVID - Консультація
41898-04|Ендоскопічна [пункційна] біопсія бронхів
38418-06|Ендоскопічна [пункційна] біопсія легені
38418-05|Ендоскопічна [пункційна] біопсія плеври
90488-00|Ендоскопічна абляція судин плаценти
41832-00|Ендоскопічна балонна дилатація стравоходу
36821-00|Ендоскопічна біопсія ниркової миски
37215-00|Ендоскопічна біопсія простати
36836-00|Ендоскопічна біопсія сечового міхура
36806-00|Ендоскопічна біопсія сечоводу
37318-04|Ендоскопічна біопсія уретри
90950-02|Ендоскопічна введення пристрою в шлунок
40012-00|Ендоскопічна вентрикулостомія третього шлуночка
30511-07|Ендоскопічна гастропластика
38421-00|Ендоскопічна декортикація легені
36815-00|Ендоскопічна деструкція бородавок на статевому члені
36845-07|Ендоскопічна деструкція множинних уражень сечового міхура
36845-06|Ендоскопічна деструкція одного ураження сечового міхура >2 см у діаметрі
36840-03|Ендоскопічна деструкція одного ураження сечового міхура ≤ 2 см або тканини сечового міхура
30478-22|Ендоскопічна деструкція ураження або тканини стравоходу
90308-00|Ендоскопічна деструкція ураженої ділянки або тканини товстої кишки
37224-00|Ендоскопічна деструкція ураженої ділянки простати
36809-01|Ендоскопічна деструкція ураженої ділянки сечоводу
36815-01|Ендоскопічна деструкція уретральних бородавок
35694-07|Сальпінгостомія
30494-00|Ендоскопічна дилатація інших частин жовчовивідних шляхів
32094-00|Ендоскопічна дилатація колоректальних стриктур
30475-01|Ендоскопічна дилатація при гастродуоденальній стриктурі
36803-01|Ендоскопічна дилатація сечоводу
30475-00|Ендоскопічна дилатація стриктури шлунка
37318-01|Ендоскопічна діатермія уретри
36806-02|Ендоскопічна екстракція конкрементів сечоводу під час уретероскопії
36654-02|Ендоскопічна екстракція ниркових конкрементів
30451-02|Ендоскопічна заміна біліарного стента
41905-07|Ендоскопічна заміна бронхіального пристрою
92068-01|Ендоскопічна заміна дуоденального протеза
30491-03|Ендоскопічна заміна панкреатичного стента
36800-01|Ендоскопічна заміна постійного сечового катетера
32023-01|Ендоскопічна заміна протеза ободової кишки
32023-04|Ендоскопічна заміна протезу прямої кишки
36821-03|Ендоскопічна заміна сечовідного стента
30490-01|Ендоскопічна заміна стравохідного протеза
90169-00|Ендоскопічна клиноподібна резекція легені
52035-00|Ендоскопічна лазерна терапія верхніх відділів шлунково-кишкового тракту і дихальних шляхів
30479-02|Ендоскопічна лазерна терапія при лікуванні товстої кишки
30479-01|Ендоскопічна лазерна терапія прямої кишки
36652-01|Ендоскопічна маніпуляція ниркових конкрементів
41831-00|Ендоскопічна пневматична дилатація стравоходу
90343-00|Ендоскопічна процедура, що переходить у відкрите хірургічне втручання
90950-04|Ендоскопічна ревізія апарату в шлунку
90463-01|Ендоскопічна редукція плода
41773-00|Ендоскопічна резекція глоткової кишені
36854-03|Ендоскопічна резекція зовнішнього уретрального сфінктера
36845-05|Ендоскопічна резекція множинних уражень сечового міхура
36845-04|Ендоскопічна резекція одного ураження сечового міхура > 2 см у діаметрі
36840-02|Ендоскопічна резекція одного ураження сечового міхура ≤ 2 см або тканин сечового міхура
37224-03|Ендоскопічна резекція простати
90297-00|Ендоскопічна резекція слизової оболонки стравоходу
90297-02|Ендоскопічна резекція слизової оболонки товстої кишки
90297-01|Ендоскопічна резекція слизової оболонки шлунка
36848-00|Ендоскопічна резекція уретероцеле
36854-02|Ендоскопічна резекція шийки сечового міхура
30485-01|Ендоскопічна сфінктеротомія з екстракцією конкременту із загальної жовчної протоки
36830-00|Ендоскопічна уретральна меатотомія
37318-02|Ендоскопічна фрагментація або екстракція уретральних конкрементів
37318-03|Ендоскопічна фрагментація або екстракція уретральних конкрементів із застосуванням лазера
36656-02|Ендоскопічна фрагментація ниркових конкрементів
36656-03|Ендоскопічна фрагментація та екстракція ниркових конкрементів
30476-04|Ендоскопічне введення агента в місце ураження або тканину стравоходу
30478-07|Ендоскопічне введення агента в уражену ділянку шлунку або дванадцятипалої кишки
47009-00|Закрита репозиція вивиху плеча
36851-00|Ендоскопічне введення агента у стінку сечового міхура
41905-06|Ендоскопічне введення бронхіального пристрою
92068-00|Ендоскопічне введення дуоденального протеза
32023-00|Ендоскопічне введення протеза ободової кишки
36811-01|Ендоскопічне введення сечівникового стента
36821-01|Ендоскопічне введення сечовідного стента
32023-03|Ендоскопічне введення стента прямої кишки
36811-00|Ендоскопічне введення уретрального протезу
39331-00|Ендоскопічне вивільнення зап'ястного каналу
30451-03|Ендоскопічне видалення біліарного стента
41905-08|Ендоскопічне видалення бронхіального пристрою
92068-02|Ендоскопічне видалення дуоденального протеза
90349-00|Ендоскопічне видалення конкрементів підшлункової залози
30491-04|Ендоскопічне видалення панкреатичного стента
36800-03|Ендоскопічне видалення постійного сечового катетера
90950-03|Ендоскопічне видалення пристрою зі шлунка
32023-02|Ендоскопічне видалення протеза ободової кишки
32023-05|Ендоскопічне видалення протезу прямої кишки
36833-01|Ендоскопічне видалення сечовідного стента
41895-02|Ендоскопічне видалення стороннього тіла з бронхів
37318-00|Ендоскопічне видалення стороннього тіла з уретри
36833-00|Ендоскопічне видалення стороннього тіла із сечового міхура
30490-02|Ендоскопічне видалення стравохідного протеза
90942-02|Ендоскопічне видалення шлункового бандажу
30515-01|Ентероколостомія
90315-00|Ендоскопічне висічення уражених ділянок або тканин анусу
90294-00|Ендоскопічне висічення ураженої ділянки жовчних проток або сфінктера Одді
90294-01|Ендоскопічне висічення ураженої ділянки підшлункової залози або протоки підшлункової залози
37221-00|Ендоскопічне дренування абсцесу простати
30476-02|Ендоскопічне лiгування варикозно розширених вен стравоходу
30476-03|Ендоскопічне лiгування варикозно розширених вен шлунка
30375-23|Ендоскопічне обстеження товстої кишки шляхом лапаротомії
30568-00|Ендоскопічне обстеження тонкої кишки шляхом інтраоперативної ентеротомії
30569-00|Ендоскопічне обстеження тонкої кишки шляхом лапаротомії
30490-00|Ендоскопічне протезування стравоходу
38436-01|Ендоскопічне розділення плевральних спайок
36812-02|Ендоскопічне розділення спайок всередині просвіту сечового міхура
30491-00|Ендоскопічне стентування інших частин жовчовивідних шляхів
30491-02|Ендоскопічне стентування протоки підшлункової залози
41898-02|Ендоскопічний бронхоальвеолярний лаваж [БАЛ]
90296-00|Ендоскопічний контроль за пептичною виразкою або кровотечею
36842-00|Ендоскопічний лаваж кров'яних згустків із сечового міхура
90171-00|Ендоскопічний плевродез
36854-01|Ендоскопічний розріз зовнішнього уретрального сфінктера
36825-00|Ендоскопічний розріз мисково-сечовідного співустя або стриктури сечоводу
36854-00|Ендоскопічний розріз шийки сечового міхура
90181-01|Ендоскопічні деструкційні процедури на легені
36857-00|Ендоскопічні маніпуляції або екстракція конкрементів сечоводу без уретроскопії
36803-02|Ендоскопічні маніпуляції з конкрементами сечоводу через уретроскопію
30515-02|Ентероентеростомія
30375-03|Ентеротоміятонкої кишки
38424-01|Енуклеація ехінококової кісти легені
42506-00|Енуклеація очного яблука без імплантації
42509-00|Енуклеація очного яблука з установленням імплантату
37613-01|Епідидимектомія, двостороння
37613-00|Епідидимектомія, одностороння
30644-00|Епідидимотомія
90472-00|Епізіотомія
37842-00|Епіспадія, вторинна корекція
37842-01|Епіспадія, вторинна корекція з уретральною реімплантацією
37839-00|Епіспадія, процедура поетапної корекції, другий етап
37836-00|Епіспадія, процедура поетапної корекції, перший етап
48512-00|Епіфізеоліз
42707-00|Заміна інтраокулярної лінзи
48503-00|Епіфізіодез великогомілкової та малогомілкової кісток
48500-00|Епіфізіодез стегнової кістки
48506-00|Епіфізіодез стегнової кістки, великогомілкової та малогомілкової кісток
48509-00|Епіфізіодез, не класифікований в інших рубриках
35726-01|Етапна лапаротомія
30384-00|Етапна лапаротомія при лімфомі
41731-01|Етмоїдектомія зі сфеноїдектомією, через лобово-носовий канал
41737-03|Етмоїдектомія, двостороння
41737-02|Етмоїдектомія, одностороння
41731-00|Етмоїдектомія, через лобово-носовий канал
41737-04|Етмоїдотомія
45018-02|Жировий трансплантат
33551-00|Забір вени з кінцівок для імплантації латки-трансплантата
32760-00|Забір вени з кінцівок для обхідного шунта або заміни трансплантата
41615-00|Загоєння вікна присінка
42530-02|Загоєння рани очної ямки
47009-01|Закрита репозиція вивиху плеча з внутрішньою фіксацією
30029-00|Загоєння рани шкіри та підшкірної клітковини іншої локалізації, включно з м'якими тканинами
30026-00|Загоєння рани шкіри та підшкірної клітковини іншої локалізації, поверхневої
30035-00|Загоєння рани шкіри та підшкірної клітковини обличчя та шиї, включно з м'якими тканинами
30032-00|Загоєння рани шкіри та підшкірної клітковини обличчя та шиї, поверхневої
90092-00|Загоєння сльозної точки, не класифіковане в інших рубриках
50372-00|Заднє вивільнення контрактури колінного суглоба з розсіченням суглобової капсули, двостороннє
50369-00|Заднє вивільнення контрактури колінного суглоба з розсіченням суглобової капсули, одностороннє
50366-00|Заднє вивільнення контрактури колінного суглоба, двостороннє
50363-00|Заднє вивільнення контрактури колінного суглоба, одностороннє
48657-00|Задній спондилодез з ламінектомією, ≥ 2рівнів
48654-00|Задній спондилодез з ламінектомією, 1 рівень
48645-00|Задній спондилодез, ≥ 3рівнів
48642-00|Задній спондилодез, 1 або 2 рівня
48657-01|Задньобоковий спондилодез з ламінектомією, ≥ 2рівнів
48654-01|Задньобоковий спондилодез з ламінектомією, 1 рівень
48651-00|Задньобоковий спондилодез, ≥ 3рівнів
48648-00|Задньобоковий спондилодез, 1 або 2 рівня
90450-01|Задня екзентерація малого тазу
41656-00|Задня тампонада і/або каутеризація для зупинки носової кровотечі
36561-00|Закрита біопсія нирки
42599-00|Закрита процедура для визначення прохідності системи сльозних канальців, 1 око
90671-00|Ксенотрансплантат
42599-01|Закрита процедура для визначення прохідності системи сльозних канальців, обидва ока
47069-01|Закрита репозиція вивиху великого пальця стопи з внутрішньою фіксацією
47063-00|Закрита репозиція вивиху гомілково-ступневого суглоба
47063-01|Закрита репозиція вивиху гомілково-ступневого суглоба з внутрішньою фіксацією
47024-02|Закрита репозиція вивиху дистального променево-ліктьового суглоба
47024-03|Закрита репозиція вивиху дистального променево-ліктьового суглоба з внутрішньою фіксацією
47030-00|Закрита репозиція вивиху зап'ястя
47003-00|Закрита репозиція вивиху ключиці
47054-00|Закрита репозиція вивиху колінного суглоба
47048-00|Закрита репозиція вивиху кульшового суглоба
47018-00|Закрита репозиція вивиху ліктя
47018-01|Закрита репозиція вивиху ліктя з внутрішньою фіксацією
47036-00|Закрита репозиція вивиху міжфалангового суглоба кисті
47057-00|Закрита репозиція вивиху надколінка
47069-00|Закрита репозиція вивиху пальця стопи
47024-00|Закрита репозиція вивиху проксимального променево-ліктьового суглоба
47024-01|Закрита репозиція вивиху проксимального променево-ліктьового суглоба з внутрішньою фіксацією
47030-02|Закрита репозиція вивиху п'ястно-зап'ястного суглоба
47042-00|Закрита репозиція вивиху п'ястно-фалангового суглоба
47609-06|Закрита репозиція вивиху п'яткової кістки
47609-07|Закрита репозиція вивиху п'яткової кістки з внутрішньою фіксацією
47000-00|Закрита репозиція вивиху скронево-нижньощелепного суглоба
47609-04|Закрита репозиція вивиху таранної кістки
47609-05|Закрита репозиція вивиху таранної кістки з внутрішньою фіксацією
47303-00|Закрита репозиція внутрішньосуглобового перелому дистальної фаланги кисті
47303-01|Закрита репозиція внутрішньосуглобового перелому дистальної фаланги кисті з внутрішньою фіксацією
47567-00|Закрита репозиція внутрішньо-суглобового перелому діафіза великогомілкової кістки
47566-02|Закрита репозиція внутрішньо-суглобового перелому діафіза великогомілкової кістки з внутрішньою фіксацією
47327-00|Закрита репозиція внутрішньосуглобового перелому проксимальної фаланги кисті
47327-01|Закрита репозиція внутрішньосуглобового перелому проксимальної фаланги кисті з внутрішньою фіксацією
47339-00|Закрита репозиція внутрішньосуглобового перелому п'ястка кисті
41617-00|Імплантація протеза завитка
47339-01|Закрита репозиція внутрішньосуглобового перелому п'ястка кисті з внутрішньою фіксацією
47612-00|Закрита репозиція внутрішньо-суглобового перелому п'яткової кістки
47612-01|Закрита репозиція внутрішньо-суглобового перелому п'яткової кістки з внутрішньою фіксацією
47315-00|Закрита репозиція внутрішньосуглобового перелому середньої фаланги кисті
47315-01|Закрита репозиція внутрішньосуглобового перелому середньої фаланги кисті з внутрішньою фіксацією
47612-06|Закрита репозиція внутрішньо-суглобового перелому таранної кістки
47612-07|Закрита репозиція внутрішньо-суглобового перелому таранної кістки з внутрішньою фіксацією
90530-00|Закрита репозиція перелому альвеолярного відростка нижньої або верхньої щелепи
47753-00|Закрита репозиція перелому верхньої щелепи з фіксацією
47762-01|Закрита репозиція перелому виличної кістки з фіксацією
47405-01|Закрита репозиція перелому голівки або шийки променевої кістки з внутрішньою фіксацією
47405-00|Закрита репозиція перелому головки або шийки променевої кістки
47466-00|Закрита репозиція перелому грудини
90443-00|Інше висічення матки
47363-01|Закрита репозиція перелому дистального відділу ліктьової кістки
47363-03|Закрита репозиція перелому дистального відділу ліктьової кістки з внутрішньою фіксацією
47456-00|Закрита репозиція перелому дистального відділу плечової кістки
47456-01|Закрита репозиція перелому дистального відділу плечової кістки з внутрішньою фіксацією
47363-00|Закрита репозиція перелому дистального відділу променевої кістки
47363-02|Закрита репозиція перелому дистального відділу променевої кістки з внутрішньою фіксацією
47300-00|Закрита репозиція перелому дистальної фаланги кисті
47300-01|Закрита репозиція перелому дистальної фаланги кисті з внутрішньою фіксацією
47564-00|Закрита репозиція перелому діафіза великогомілкової кістки
47566-00|Закрита репозиція перелому діафіза великогомілкової кістки з внутрішньою фіксацією
47381-01|Закрита репозиція перелому діафіза ліктьової кістки
47385-01|Закрита репозиція перелому діафіза ліктьової кістки з вивихом
47385-03|Закрита репозиція перелому діафіза ліктьової кістки з вивихом та внутрішньою фіксацією
47381-03|Закрита репозиція перелому діафіза ліктьової кістки з внутрішньою фіксацією
47447-00|Закрита репозиція перелому діафіза плечової кістки
47451-00|Закрита репозиція перелому діафіза плечової кістки з внутрішньою фіксацією
47381-00|Закрита репозиція перелому діафіза променевої кістки
47385-00|Закрита репозиція перелому діафіза променевої кістки з вивихом
47385-02|Закрита репозиція перелому діафіза променевої кістки з вивихом та внутрішньою фіксацією
47381-02|Закрита репозиція перелому діафіза променевої кістки з внутрішньою фіксацією
47390-00|Закрита репозиція перелому діафіза променевої та ліктьової кістки
47390-01|Закрита репозиція перелому діафіза променевої та ліктьової кістки з внутрішньою фіксацією
47348-00|Закрита репозиція перелому зап'ястя
47348-01|Закрита репозиція перелому зап'ястя з внутрішньою фіксацією
90530-02|Закрита репозиція перелому кістки лицевого черепа, не класифікована в інших рубриках
47597-00|Закрита репозиція перелому кісточки
47600-00|Закрита репозиція перелому кісточки з внутрішньою фіксацією діастазу, малогомілкової кістки або кісточки
47462-00|Закрита репозиція перелому ключиці
47462-01|Закрита репозиція перелому ключиці з внутрішньою фіксацією
47396-00|Закрита репозиція перелому ліктьового відростка
47396-01|Закрита репозиція перелому ліктьового відростка з внутрішньою фіксацією
47564-01|Закрита репозиція перелому малогомілкової кістки
47566-04|Закрита репозиція перелому малогомілкової кістки з внутрішньою фіксацією
47546-00|Закрита репозиція перелому медіального або латерального виростка великогомілкової кістки
47546-01|Закрита репозиція перелому медіального або латерального виростка великогомілкової кістки з внутрішньою фіксацією
90066-00|Інша відновлення рогівки
47555-00|Закрита репозиція перелому медіального та латерального виростка великогомілкової кістки
30562-05|Закриття іншої стоми товстої кишки
47555-01|Закрита репозиція перелому медіального та латерального виростка великогомілкової кістки з внутрішньою фіксацією
47756-00|Закрита репозиція перелому нижньої щелепи з фіксацією
47738-00|Закрита репозиція перелому носової кістки
47621-00|Закрита репозиція перелому передплюсно-плюсневого суглоба
47621-01|Закрита репозиція перелому передплюсно-плюсневого суглоба з внутрішньою фіксацією
47636-00|Закрита репозиція перелому плесна
47636-01|Закрита репозиція перелому плесна з внутрішньою фіксацією
47426-00|Закрита репозиція перелому проксимального відділу плечової кістки
47426-01|Закрита репозиція перелому проксимального відділу плечової кістки з внутрішньою фіксацією
47324-00|Закрита репозиція перелому проксимальної фаланги кисті
47324-01|Закрита репозиція перелому проксимальної фаланги кисті з внутрішньою фіксацією
47336-00|Закрита репозиція перелому п'ястка
47336-01|Закрита репозиція перелому п'ястка кисті з внутрішньою фіксацією
47609-00|Закрита репозиція перелому п'яткової кістки
47612-02|Закрита репозиція перелому п'яткової кістки з вивихом
47612-03|Закрита репозиція перелому п'яткової кістки з вивихом та внутрішньою фіксацією
47609-01|Закрита репозиція перелому п'яткової кістки з внутрішньою фіксацією
47312-00|Закрита репозиція перелому середньої фаланги кисті
47312-01|Закрита репозиція перелому середньої фаланги кисті з внутрішньою фіксацією
47516-01|Закрита репозиція перелому стегнової кістки
47531-00|Закрита репозиція перелому стегнової кістки з внутрішньою фіксацією
47609-02|Закрита репозиція перелому таранної кістки
47612-04|Закрита репозиція перелому таранної кістки з вивихом
47612-05|Закрита репозиція перелому таранної кістки з вивихом та внутрішньою фіксацією
47609-03|Закрита репозиція перелому таранної кістки з внутрішньою фіксацією
47663-00|Закрита репозиція перелому фаланги великого пальця ступні
47663-01|Закрита репозиція перелому фаланги великого пальця ступні з внутрішньою фіксацією
47672-00|Закрита репозиція перелому фаланги пальця ступні, окрім великого пальця ступні
47672-01|Закрита репозиція перелому фаланги пальця ступні, окрім великого пальця ступні, з внутрішньою фіксацією
47354-00|Закрита репозиція перелому човноподібної кістки зап'ястя
45566-01|Ін'єкція в тканинний еспандер
47354-01|Закрита репозиція перелому човноподібної кістки зап'ястя з внутрішньою фіксацією
47603-00|Закрита репозиція перелому щиколотки з внутрішньою фіксацією, ≥ 2 діастазів, малогомілкової кістки або кісточки
47696-00|Закрита репозиція перелому/вивиху хребта
47690-00|Закрита репозиція перелому/вивиху хребта з іммобілізацією
47693-00|Закрита репозиція перелому/вивиху хребта із залученням спинного мозку, з іммобілізацією
90541-00|Закрита репозиція при відриві епіфізу променевої або ліктьової кістки
90610-00|Закрита репозиція ребра
47525-00|Закрита репозиція у разі епіфізеолізу голівки стегнової кістки
33810-01|Закрита тромбектомія з клубової вени
33810-00|Закрита тромбектомія з нижньої порожнистої вени
46438-00|Закрита фіксація молоткоподібного пальця
45645-00|Закрите хірургічне відновлення атрезії хоан
30676-02|Закриті процедури при пілонідальному синусі кісти або абсцесі, не класифіковані в інших рубриках
32165-00|Закриття анальної нориці з переміщенням клаптя слизової оболонки прямої кишки
34163-00|Закриття аорто-тонкокишкового свища [нориці] з введенням аортального трансплантата
35713-12|Сальпінготомія
49721-00|Іммобілізація Ахіллового сухожилля
34160-00|Закриття аорто-тонкокишкового свища [нориці] з прямим закриттям аорти
34166-00|Закриття аорто-тонкокишкового свища [нориці] з ушиванням наглухо черевної аорти та пахвово-стегновим шунтуванням з використанням трансплантата
90444-00|Закриття вагіноперинеальної нориці
35596-01|Закриття везиковагінальної нориці, вагінальний доступ
38700-01|Закриття відкритої артеріальної протоки
96220-00|Закриття вушка лівого передсердя
90339-00|Закриття гастростоми
30293-01|Закриття езофагостоми
37050-00|Закриття екстрофії сечового міхура
40339-00|Закриття засувки
41879-02|Закриття зовнішнього свища [нориці] трахеї
37023-01|Закриття зовнішньої міхурової нориці
30562-01|Закриття ілеостоми з відновленням кишкової безперервності
35596-03|Закриття інших нориць піхви
41879-03|Закриття інших свищів [нориць] трахеї
45714-01|Закриття іншого назального свища [нориці]
30562-04|Закриття іншої стоми тонкої кишки
38700-03|Закриття колатеральних судин серця
30562-03|Закриття колостоми з відновленням кишкової безперервності
30399-00|Закриття лапаростоми
90340-01|Закриття нориці товстої кишки
90340-00|Закриття нориці тонкої кишки
90447-00|Закриття нориць піхви з використанням біологічних герметиків
41722-00|Закриття ороантральної фістули
45714-00|Закриття ороназального свища [нориці]
41671-01|Закриття перфорації носової перегородки
30562-00|Закриття петлевої ілеостоми
30562-02|Закриття петлевої колостоми
34121-00|Закриття простого артеріовенозного свища [нориці] кінцівки з відновленням безперервності
34127-00|Закриття простого артеріовенозного свища [нориці] черевної порожнини з відновленням безперервності
34124-00|Закриття простого артеріовенозного свища [нориці] шиї з відновленням безперервності
35596-00|Закриття ректо-вагінальної нориці
30052-04|Закриття свища в області рота
30269-00|Закриття свища слинної залози або протоки
37029-01|Закриття сечоміхурово-вагінальних нориць через абдомінальний доступ
37038-01|Закриття сечоміхурово-кишкових нориць
34121-01|Закриття складного артеріовенозного свища [нориці] кінцівки з відновленням безперервності
49857-00|Заміна плюснефалангового суглоба
34127-01|Закриття складного артеріовенозного свища [нориці] черевної порожнини з відновленням безперервності
34124-01|Закриття складного артеріовенозного свища [нориці] шиї з відновленням безперервності
43900-00|Закриття трахео-стравохідного свища [нориці]
43852-00|Закриття трахео-стравохідного свища [нориці] шляхом торакотомії
35596-02|Закриття уретеро-вагінальної нориці
37333-00|Закриття уретро-вагінальної нориці
37336-00|Закриття уретро-ректальної нориці
41614-00|Закриття фістули вікна завитка
41614-01|Закриття фістули вікна присінка
34518-00|Закриття хірургічно створеного артеріовенозного свища [нориці]
34130-00|Закриття хірургічно створеного артеріовенозного свища [нориці] кінцівки
45570-00|Закриття черевної порожнини з відновленням м'язово-апоневротичного шару
36621-00|Закриття шкірної уретеростомії
37044-01|Залобкова операція з усунення стресового нетримання, у жінок
37044-00|Залобкова операція з усунення стресового нетримання, у чоловіків
37200-04|Залобкова простатектомія
38489-01|Заміна аортального клапана із застосуванням безстентового гетеротрансплантата
38488-01|Заміна аортального клапана із застосуванням біопротеза
38489-00|Заміна аортального клапана із застосуванням гомотрансплантата
38488-00|Заміна аортального клапана із застосуванням механічного протеза
35506-00|Заміна внутрішньоматкового пристрою [ВМП]
40709-03|Заміна внутрішньочерепних електродів через трепанаційні отвори
40712-03|Заміна внутрішньочерепних електродів шляхом краніотомії
38393-01|Заміна генератора кардіодефібрилятора
38353-01|Заміна генератора кардіостимулятора
49112-00|Заміна головки променевої кістки ліктьового суглоба із використанням силастика
90316-00|Інші процедури на анусі
90597-00|Заміна дистального відділу ліктьової кістки із використанням силастики
38760-01|Заміна екстракардіального кондуїту між лівим шлуночком та аортою
38760-02|Заміна екстракардіального кондуїту між передсердям та легеневою артерією
38760-00|Заміна екстракардіального кондуїту між правим шлуночком та легеневою артерією
39137-01|Заміна електродів інших периферичних нервів
36664-00|Заміна електродів крижового нерва
32210-00|Заміна електростимулятора неосфінктера з тонкого м'яза
39137-00|Заміна епідуральних електродів
34500-01|Заміна зовнішнього артеріовенозного шунта
42710-00|Заміна інтраокулярної лінзи шляхом введення у задню камеру ока та пришиванням до райдужки або склери
41905-03|Заміна ларингеального стента
38489-05|Заміна легеневого клапана із застосуванням безстентового гетеротрансплантата
38488-07|Заміна легеневого клапана із застосуванням біопротеза
38489-04|Заміна легеневого клапана із застосуванням гомотрансплантата
38488-06|Заміна легеневого клапана із застосуванням механічного протеза
90375-01|Заміна матеріалів, застосовуваних для тампонування внутрішньочеревної порожнини
38488-03|Заміна мітрального клапана із застосуванням біопротеза
38489-02|Заміна мітрального клапана із застосуванням гомотрансплантата
38488-02|Заміна мітрального клапана із застосуванням механічного протеза
96190-01|Заміна назофарингеальної трубки
36649-00|Заміна нефростомічної дренажної трубки
42615-00|Заміна носо-сльозної трубки, двобічна
42614-00|Заміна носо-сльозної трубки, однобічна
38390-03|Заміна пластин кардіодефібрилятора
38456-30|Заміна постійного епікардіального електрода кардіодефібрилятора шляхом доступу під мечоподібним відростком
38456-31|Заміна постійного епікардіального електрода кардіодефібрилятора шляхом торакотомії або стернотомії
38456-23|Заміна постійного епікардіального електрода кардіостимулятора шляхом доступу під мечоподібним відростком
38456-24|Заміна постійного епікардіального електрода кардіостимулятора шляхом торакотомії або стернотомії
38654-04|Заміна постійного лівошлуночкового електрода кардіодефібрилятора шляхом торакотомії або стернотомії
38654-01|Заміна постійного лівошлуночкового електрода кардіостимулятора шляхом торакотомії або стернотомії
13109-01|Заміна постійного перитонеального катетера для перитонеального діалізу
